 ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
56,0.064444447,0.073333334,0.182222225,0.152222224,0.280000001,0.242222231,0.283333335,0.666666687,0.317777768,0.532222226,0.722222239,0.5,0.349999994,0.851111114,0.822222233,0.768888891,0.834444463,0.732222229,0.898888886,0.842222214
57,0.057777777,0.165555559,0.118888892,0.190000005,0.073333332,0.071111112,0.513333336,0.50999999,0.6188889,0.735555559,0.319999989,0.347777784,0.541111097,0.826666683,0.686666653,0.665555567,0.722222209,0.801111132,0.794444442,0.802222222
58,0.060000001,0.095555555,0.312222227,0.130000003,0.390000008,0.27777778,0.295555554,0.668888897,0.778888881,0.74444443,0.702222198,0.564444438,0.699999988,0.685555562,0.651111126,0.671111137,0.681111112,0.768888891,0.723333329,0.527777791
59,0.046666667,0.124444447,0.118888889,0.220000003,0.407777771,0.265555561,0.703333348,0.452222221,0.471111104,0.75444445,0.799999982,0.657777771,0.571111113,0.857777804,0.552222222,0.843333334,0.915555567,0.76111111,0.718888879,0.795555532
60,0.094444444,0.051111111,0.298888892,0.173333332,0.526666671,0.368888885,0.264444442,0.502222225,0.464444436,0.6311111,0.591111094,0.303333327,0.784444451,0.663333356,0.665555567,0.666666687,0.903333336,0.75777778,0.867777765,0.656666666
61,0.048888887,0.074444447,0.119999999,0.327777792,0.404444441,0.111111112,0.415555552,0.76111111,0.320000008,0.557777777,0.704444438,0.726666659,0.676666677,0.828888893,0.816666692,0.800000012,0.860000014,0.551111102,0.859999985,0.819999993
62,0.052222224,0.137777776,0.263333328,0.322222233,0.188888889,0.605555549,0.50333333,0.547777772,0.792222232,0.696666658,0.816666663,0.581111118,0.833333343,0.819999993,0.827777773,0.691111118,0.901111126,0.653333336,0.486666666,0.75999999
63,0.062222222,0.077777777,0.222222224,0.125555553,0.154444449,0.43222221,0.524444446,0.726666689,0.442222226,0.775555551,0.726666659,0.837777764,0.774444461,0.819999993,0.788888901,0.638888896,0.781111121,0.886666685,0.449999989,0.768888891
64,0.107777778,0.090000002,0.201111109,0.37111111,0.347777776,0.38666667,0.123333335,0.75111112,0.630000025,0.727777779,0.462222219,0.534444436,0.795555562,0.823333323,0.903333336,0.896666646,0.876666665,0.732222229,0.920000017,0.581111103
65,0.108888891,0.132222224,0.088888887,0.100000001,0.462222211,0.200000003,0.594444439,0.580000013,0.392222233,0.75,0.636666685,0.873333335,0.787777781,0.826666653,0.667777777,0.892222226,0.805555552,0.922222227,0.434444454,0.517777793
66,0.078888891,0.157777779,0.214444444,0.36333333,0.336666673,0.417777792,0.765555561,0.710000008,0.636666685,0.74444446,0.512222216,0.865555555,0.805555552,0.512222216,0.868888885,0.891111135,0.867777795,0.858888894,0.883333325,0.916666687
67,0.073333332,0.106666666,0.178888891,0.221111108,0.312222227,0.489999987,0.682222217,0.361111119,0.624444455,0.74555555,0.613333344,0.75444445,0.622222215,0.781111091,0.905555546,0.886666685,0.827777773,0.777777761,0.907777786,0.903333336
68,0.097777782,0.102222223,0.273333333,0.521111116,0.174444444,0.48666665,0.597777784,0.727777779,0.620000005,0.74000001,0.74000001,0.838888884,0.845555574,0.890000015,0.881111115,0.922222227,0.911111116,0.919999987,0.838888913,0.894444436
69,0.052222222,0.105555557,0.242222227,0.354444444,0.503333315,0.567777783,0.678888887,0.458888903,0.74222222,0.845555544,0.663333356,0.847777784,0.856666684,0.897777766,0.854444444,0.736666679,0.482222218,0.926666647,0.895555556,0.898888916
